Temps;Y
0;1.34423531591892
0.02;1.79231375455856
0.04;2.17069110274315
0.06;2.4295808672905
0.08;2.56898304820061
0.1;2.59885494410991
0.12;2.52417520433664
0.14;2.35490112751722
0.16;2.06116081774235
0.18;1.66784752160311
0.2;1.21976908296346
0.22;0.781647942960261
0.24;0.353484101593493
0.26;-0.0746797397732752
0.28;-0.51280087977648
0.3;-0.945943370461466
0.32;-1.37908586114645
0.34;-1.81720700114966
0.36;-2.19558434933424
0.38;-2.44949546456337
0.4;-2.57396169751883
0.42;-2.59885494410992
0.44;-2.51421790570021
0.46;-2.33000788092613
0.48;-2.02631027251482
0.5;-1.63299697637558
0.52;-1.1998544856906
0.54;-0.776669293642046
0.56;-0.34352680295706
0.58;0.0896156877279264
0.6;0.522758178412913
0.62;0.95092201977968
0.64;1.3940218091011
0.66;1.82218565046787
0.68;2.19060570001602
0.7;2.41962356865406
0.72;2.53413250297308
0.74;2.54408980160951
0.76;2.44949546456337
0.78;2.26528543978929
0.8;1.94665188342333
0.82;1.54338128864765
0.84;1.10028149932623
0.86;0.687053605914114
0.88;0.258889764547346
0.9;-0.169274076819422
0.92;-0.59743791818619
0.94;-1.01564446091652
0.96;-1.44878695160151
0.98;-1.87197214365006
1;-2.21549894660711
1.02;-2.44451681524515
1.04;-2.55404710024595
1.06;-2.54408980160952
1.08;-2.44949546456337
1.1;-2.23541354387999
1.12;-1.9118013381958
1.14;-1.51350939273834
1.16;-1.10028149932623
1.18;-0.672117657959463
1.2;-0.253911115229132
1.22;0.1642954275012
1.24;0.592459268867968
1.26;1.02560175955295
1.28;1.4487869516015
1.3;1.87197214365005
1.32;2.20056299865246
1.34;2.4046876206994
1.36;2.48932465910911
1.38;2.47936736047268
1.4;2.36983707547188
1.42;2.15575515478849
1.44;1.81222835183143
1.46;1.40397910773754
1.48;0.985772565007208
1.5;0.567566022276877
1.52;0.154338128864763
1.54;-0.268847063183786
1.56;-0.687053605914118
1.58;-1.09530285000801
1.6;-1.52346669137478
1.62;-1.91677998751402
1.64;-2.24039219319821
1.66;-2.43953816592694
1.68;-2.51421790570021
1.7;-2.49430330842734
1.72;-2.36485842615366
1.74;-2.1308619081974
1.76;-1.79231375455857
1.78;-1.39402180910111
1.8;-0.985772565007212
1.82;-0.572544671595098
1.84;-0.154338128864767
1.86;0.263868413865564
1.88;0.672117657959459
1.9;1.09530285000801
1.92;1.51350939273834
1.94;1.90682268887758
1.96;2.21052029728889
1.98;2.38477302342653
2;2.44949546456337
2.02;2.41464491933584
2.04;2.27524273842573
2.06;2.03626757115125
2.08;1.66784752160311
2.1;1.25959827750921
2.12;0.856327682733534
2.14;0.453057087957857
2.16;0.0398291945457441
2.18;-0.368420049548151
2.2;-0.776669293642046
2.22;-1.18989718705416
2.24;-1.59814643114805
2.26;-1.98150242865086
2.28;-2.2652854397893
2.3;-2.42460221797228
2.32;-2.47936736047268
2.34;-2.4295808672905
2.36;-2.28022138774395
2.38;-2.01137432456017
2.4;-1.66286887228489
2.42;-1.26457692682743
2.44;-0.866284981369974
2.46;-0.463014386594297
2.48;-0.0448078438639659
2.5;0.363441400229929
2.52;0.766711995005606
2.54;1.1749612390995
2.56;1.5832104831934
2.58;1.95660918205976
2.6;2.21549894660711
2.62;2.36485842615366
2.64;2.4046876206994
2.66;2.34494382888079
2.68;2.17069110274315
2.7;1.89686539024114
2.72;1.528445340693
2.74;1.13015339523554
2.76;0.736840099096296
2.78;0.328590855002401
2.8;-0.0796583890914935
2.82;-0.48292898386717
2.84;-0.87624228000641
2.86;-1.27951287478209
2.88;-1.67780482023955
2.9;-2.0213316231966
2.92;-2.27524273842573
2.94;-2.41962356865406
2.96;-2.43455951660872
2.98;-2.35490112751723
3;-2.17566975206137
3.02;-1.89188674092293
