Temps;Y
0;0.396747002843768
0.005;0.351832247804851
0.01;0.316898549441249
0.015;0.276974322739989
0.02;0.237050096038729
0.025;0.19712586933747
0.03;0.147220585960895
0.035;0.117277415934951
0.04;0.0773531892336909
0.045;0.0374289625324313
0.05;-0.00249526416882828
0.055;-0.0474100192077453
0.06;-0.0823437175713475
0.065;-0.127258472610265
0.07;-0.162192170973867
0.075;-0.202116397675126
0.08;-0.242040624376386
0.085;-0.281964851077646
0.09;-0.316898549441248
0.095;-0.361813304480165
0.1;-0.39175647450611
0.105;-0.426690172869712
0.11;-0.461623871233314
0.115;-0.496557569596916
0.12;-0.531491267960518
0.125;-0.556443909648805
0.13;-0.591377608012408
0.135;-0.621320778038352
0.14;-0.646273419726639
0.145;-0.676216589752584
0.15;-0.696178703103214
0.155;-0.721131344791501
0.16;-0.741093458142131
0.165;-0.761055571492761
0.17;-0.781017684843391
0.175;-0.795989269856363
0.18;-0.810960854869335
0.185;-0.825932439882308
0.19;-0.835913496557623
0.195;-0.850885081570595
0.2;-0.86086613824591
0.205;-0.870847194921225
0.21;-0.865856666583567
0.215;-0.870847194921225
0.22;-0.875837723258882
0.225;-0.870847194921225
0.23;-0.855875609908253
0.235;-0.86086613824591
0.24;-0.855875609908253
0.245;-0.845894553232938
0.25;-0.835913496557623
0.255;-0.82094191154465
0.26;-0.810960854869335
0.265;-0.795989269856363
0.27;-0.781017684843391
0.275;-0.761055571492761
0.28;-0.736102929804474
0.285;-0.721131344791501
0.29;-0.696178703103214
0.295;-0.671226061414927
0.3;-0.641282891388982
0.305;-0.616330249700695
0.31;-0.58638707967475
0.315;-0.556443909648805
0.32;-0.521510211285203
0.325;-0.491567041259259
0.33;-0.456633342895656
0.335;-0.426690172869712
0.34;-0.386765946168452
0.345;-0.346841719467192
0.35;-0.31190802110359
0.355;-0.276974322739988
0.36;-0.237050096038729
0.365;-0.197125869337469
0.37;-0.157201642636209
0.375;-0.11727741593495
0.38;-0.0773531892336901
0.385;-0.0374289625324304
0.39;0.00748579250648662
